,ch4,co2,livestock
1980,162.433,4.601081514,45565944
1981,161.867,4.406638284,45953128
1982,165.612,4.314959591,45914058
1983,169.642,4.286135321,47159800
1984,170.461,4.339077192,48483781
1985,176.736,4.428311744,49306824
1986,182.873,4.412252113,50983632
1987,190.064,4.461922924,50940348
1988,191.223,4.565402665,51339867
1989,198.378,4.566474137,51557846
1990,320,3.902964422,53028463
1991,330,3.874590704,53553615
1992,350,3.804011014,52690686
1993,370,3.769327631,52094854
1994,370,3.732384777,51949559
1995,370,3.781982439,52660843
1996,380,3.806694025,53700471
1997,380,3.813515227,54747244
1998,380,3.780610935,54270844
1999,390,3.747766066,55475413
2000,380,3.812649312,55832379
2001,360,3.827658881,55293460
2002,360,3.834751351,56342203
2003,380,3.958502744,57148187
2004,390,4.092251662,58763400
2005,390,4.196301213,59105680
2006,400,4.281006432,60361556
2007,460,4.39186678,62172685
2008,460,4.376917216,62253675
2009,440,4.27713137,62562630
2010,460,4.483147956,62646774
2011,470,4.570123103,62365818
2012,470,4.578768146,62930978
2013,480,4.610229279,63961185
2014,490,4.560774243,64367040
2015,490,4.488770091,63847528
2016,490,4.436759079,64358236
2017,500,4.441308582,65591737
2018,510,4.483523912,67320903
2019,,,68313894
