Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
World,45565944,45953128,45914058,47159800,48483781,49306824,50983632,50940348,51339867,51557846,53028463,53553615,52690686,52094854,51949559,52660843,53700471,54747244,54270844,55475413,55832379,55293460,56342203,57148187,58763400,59105680,60361556,62172685,62253675,62562630,62646774,62365818,62930978,63961185,64367040,63847528,64358236,65591737,67320903,68313894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",93000,69000,61000,66000,90000,118000,153000,158000,133000,90000,95000,98000,100000,131000,148000,155000,174000,237000,273000,240000,214000,163000,147000,142000,145000,152000,158000,171000,174000,198000,186000,216000,234000,260000,261000,255000,231000,239000,237000,245000
Afghanistan,67000,68000,69000,68000,68000,68000,68000,70000,71000,71000,86400,86400,86400,97200,113400,130000,143000,156000,171000,149000,126000,108000,150000,137000,149300,141100,117300,137000,133000,135000,131000,138000,139000,134000,120545,111438,106054,95229,91920,95398
Albania,-,-,-,-,-,-,-,-,-,-,-,-,32600,30400,28800,29700,33100,34800,34900,32000,30900,29413,29613,29921,33406,34400,40400,43300,49300,49600,48000,48200,47600,53600,59000,63600,68100,70800,68800,68100
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,62487,56507,55759,54951,58895,67494,70537,73471,78425,80596,86814,91992,94617,95909,97811,98444,100539,102331,112361,115471,118410,120799,122370,129753,130984,132902,135620,137929
Bahrain,720,576,840,1080,1560,924,942,864,816,771,800,722,879,840,804,684,804,808,902,894,896,912,1440,1020,875,875,876,876,972,972,1020,1020,1020,1032,1070,979,874,736,751,827
Bangladesh,120934,122499,124076,125700,122753,133184,134528,135834,137178,138620,139921,140070,141377,144029,146740,147916,152500,165600,161000,170500,172500,174400,178400,180000,181000,183000,184000,186000,187000,188000,188152,190515,190784,192013,192870,191649,190735,188771,189944,190722
Bhutan,3910,3995,4208,4471,4716,4990,4981,5100,5185,5270,5355,6592,6736,6860,6973,7210,7725,6695,6386,7210,5974,5871,5665,6180,6180,6180,6180,6180,5340,5688,5576,5318,5276,5317,4510,4483,4421,4361,4236,4234
Brunei Darussalam,395,825,750,1058,1396,1339,1169,1683,1753,1488,1752,1905,1529,1376,1688,1170,1508,1680,2070,4245,3210,3045,3150,3225,2730,2048,1335,1170,720,792,680,1016,934,560,608,482,998,1220,1180,1166
Cambodia,8160,9960,12600,14280,16560,18360,20520,22680,23640,26640,28200,29760,33120,34800,36000,39600,40800,41040,41760,42120,56700,58200,53400,53520,54720,57360,60240,60720,62400,64680,62880,63120,63600,60495,56015,55470,56212,56626,56296,56345
China,272702,272848,279049,300326,340597,385804,492544,691568,799669,953194,1121789,1356690,1589862,1992436,2148828,2602028,3002649,3650313,4037586,4572857,4642024,4598595,4717489,4902101,5063849,5133544,5333410,5654618,5573776,5650689,5676946,5511545,5547100,5532760,5556253,5566157,5565963,5725613,5810117,5942392
Cyprus,2022,2032,2002,2450,2445,2750,3600,4100,4000,4100,4100,4600,4550,4200,4430,5030,4900,5400,4000,3950,4450,3900,3800,4003,3804,4182,4003,3920,4248,4505,4479,4827,5313,4562,4573,4953,4954,5101,5280,5610
동티모르,750,670,610,560,510,490,510,510,570,700,710,824,834,937,752,948,1051,1102,1677,927,1339,1126,1751,1339,927,927,948,968,989,1009,1040,1092,1112,1133,1081,1317,1328,1163,1154,1146
Georgia,-,-,-,-,-,-,-,-,-,-,-,-,40300,40000,43600,52700,54200,56000,42793,41305,48266,47010,49220,50079,46700,46404,33000,31300,25100,29200,26700,21300,16200,20200,22800,24400,21500,21400,22900,22100
"Hong Kong SAR,China",33862,35130,36550,36840,36640,38100,39630,40460,39900,37290,39390,37530,35290,32100,28910,25264,20107,15000,19000,18000,18000,15000,14000,13000,14000,14000,14000,12400,8600,8500,8500,8500,7800,7900,7538,6900,6600,6600,6160,3407
India,853424,863456,933610,959310,966060,946400,948520,1021140,1026198,1030845,1035878,1067080,1051424,1045553,1039682,1033811,1027940,1021966,1009915,997864,986225,974483,963050,951720,969127,986740,1004868,1023058,1014551,1006311,998071,989522,980561,971291,960991,931645,913009,899728,901237,904883
Indonesia,220800,227800,235500,203700,216400,227400,227800,234800,238100,252800,259200,262200,297000,346278,336461,311966,347203,353652,342598,308767,339941,338685,330300,369710,447573,358704,395843,339480,392511,409310,436452,485333,508906,504818,497670,506661,518484,486320,497972,490421
"Iran, Islamic Rep.",171000,170000,170000,165000,165000,168000,171000,173700,180000,202000,210000,218000,227000,236000,246000,255000,299262,308016,314817,278004,269000,274000,341684,314209,336800,348000,370800,388300,321883,324816,343708,348869,351789,389000,406000,385152,445299,457541,425433,364837
Iraq,47870,45900,48400,46750,49170,46200,43890,44000,44550,45500,47915,30780,42525,51975,47925,40187,35516,43875,45225,45360,45900,49140,49950,33842,42710,47030,40510,31230,43000,47500,49960,50060,50300,51270,46479,27190,24519,22159,19684,17091
Israel,21200,18650,19875,18050,33900,32200,32100,32600,34950,35600,35850,38000,37000,35520,41000,40500,44000,46290,43800,46400,63800,62393,79700,90905,83043,89923,108291,105220,116554,104018,108128,116799,116919,132239,122116,132212,126488,140655,122368,138476
Japan,418062,470717,480958,494934,536061,555256,558620,564883,569803,547958,549479,575160,591660,594346,602336,600902,554507,530248,529349,540377,530438,458600,536600,496000,513600,499470,496992,503902,519879,517020,514959,500370,518650,507985,502135,481019,464351,469096,475336,470907
Jordan,1554,1525,1470,2078,2125,1278,1008,1065,1001,1000,2500,3200,2300,2600,3895,3900,3275,3528,4000,5000,6500,12000,11650,10134,15633,7530,14820,13780,19130,13325,12299,17761,19584,23547,19497,27452,29552,29000,27265,25000
Kazakhstan,-,-,-,-,-,-,-,-,-,-,-,-,596200,661500,641600,548200,457500,398200,347900,343900,306300,287600,296000,311900,329700,348300,366500,385900,400100,396096,406817,392850,373524,383468,405474,416823,430600,450432,477407,501249
"Korea, Dem. People's Rep.",30750,31500,32250,34500,35550,37500,39000,41250,42000,37950,34500,30000,30300,31050,31500,42000,21750,18750,19500,19950,20025,21450,21600,21750,21300,21450,21600,21750,21750,21750,21795,21795,21975,21975,21468,21102,20828,20811,20794,20848
Kuwait,5540,7910,9850,7850,4150,2165,2170,2222,1774,1640,1375,100,129,624,467,602,650,444,519,529,806,465,722,980,479,728,1259,796,1488,1624,2004,1609,1433,1353,1888,1882,1401,2151,1728,1592
Kyrgyz Republic,-,-,-,-,-,-,-,-,-,-,-,-,87800,87800,82300,84700,86377,95094,94561,95113,100622,100065,104768,94035,94595,90850,91157,90808,93345,94545,97712,98685,97074,98600,101574,99059,102689,103626,108631,102336
Lao PDR,2781,2834,2947,3030,3386,4565,5395,5246,4980,6225,7470,8300,9130,10120,11200,13259,11817,13698,14518,18500,16400,17400,20200,21500,21000,22500,23000,23750,24500,25000,25750,26900,29500,29900,30544,31828,32479,33571,34597,35533
